"id","code","short_name","full_description"
"intra_type_11","11","Izravna kupnja/prodaja","Izravna kupnja/prodaja"
"intra_type_12","12","Nabava za prodaju na probno razdoblje ili nakon probe, za konsignaciju ili uz posredovanje komisionara","Nabava za prodaju na probno razdoblje ili nakon probe, za konsignaciju ili uz posredovanje komisionara"
"intra_type_13","13","Barter trgovina (naknada u naturi)","Barter trgovina (naknada u naturi)"
"intra_type_14","14","Financijski leasing (unajmljivanje na otplatu) ","Financijski leasing (unajmljivanje na otplatu) "
"intra_type_19","19","Ostale transakcije ...","Ostale transakcije koje uključuju stvarni ili planirani prijenos vlasništva od rezidenata na nerezidente uz naknadu (financijsku ili drugačiju) (osim transakcija navedenih pod 2, 7 i 8) "
"intra_type_21","21","Povrat robe","Povrat robe"
"intra_type_22","22","Zamjena za vraćenu robu","Zamjena za vraćenu robu"
"intra_type_23","23","Zamjena (npr. pod garancijom) za robu koja se ne vraća","Zamjena (npr. pod garancijom) za robu koja se ne vraća"
"intra_type_29","29","Ostale transakcije povrata ili zamjene robe","Ostale transakcije povrata ili zamjene robe"
"intra_type_30","30","Transakcije koje uključuju prijenos ...","Transakcije koje uključuju prijenos vlasništva bez financijske ili druge naknade (npr. humanitarne pošiljke)"
"intra_type_41","41","Oplemenjivanje...bez prijenosa vlasništva...očekuje prijenos","Postupci s ciljem oplemenjivanja (prerade) pod ugovorom (bez prijenosa vlasništva procesoru), gdje se očekuje da će se roba vratiti početnoj zemlji članici otpreme"
"intra_type_42","42","Oplemenjivanja ...bez prijenosa vlasništva ...ne očekuje.","Postupci s ciljem oplemenjivanja (prerade) pod ugovorom (bez prijenosa vlasništva procesoru), gdje se ne očekuje da će se roba vratiti početnoj zemlji članici otpreme"
"intra_type_51","51","Roba se vraća početnoj zemlji ...","Postupci nakon oplemenjivanja (prerade) pod ugovorom (bez prijenosa vlasništva procesoru), gdje se roba vraća početnoj zemlji članici otpreme"
"intra_type_52","52","Roba se ne vraća početnoj zemlji ...","Postupci nakon oplemenjivanja (prerade) pod ugovorom (bez prijenosa vlasništva procesoru), gdje se roba ne vraća početnoj zemlji članici otpreme"
"intra_type_60","60","Određene transakcije označene za nacionalne potrebe","Određene transakcije označene za nacionalne potrebe"
"intra_type_70","70","Postupci u okviru zajedničkih ...","Postupci u okviru zajedničkih obrambenih programa ili ostalih zajedničkih međuvladinih proizvodnih programa"
"intra_type_80","80","Transakcije koje uključuju nabavu ...","Transakcije koje uključuju nabavu građevinskog materijala i tehničke opreme unutar općeg ugovora o izgradnji ili građevinskog ugovora za koje nije potrebno odvojeno fakturiranje robe i izdaje se račun za cjelokupni ugovor"
"intra_type_91","91","Najam, posudba i operativni leasing ","Najam, posudba i operativni leasing dulji od 24 mjeseca"
"intra_type_99","99","Ostale transakcije ...","Ostale transakcije koje se ne mogu svrstati pod druge šifre"
